country,year,Urban_pct
South Africa,2013,63.05240241
Australia,2014,86.72212893
Austria,2014,67.41543276
Belgium,2014,85.98483367
Bulgaria,2014,73.08448792
Brazil,2014,85.43313679
Canada,2014,81.21118316
Switzerland,2014,74.74026791
Chile,2014,87.31337015
China,2014,55.75025558
Colombia,2014,77.10584494
Costa Rica,2014,74.48669632
Cyprus,2014,67.12305588
Czech Republic,2014,73.0995921
Germany,2014,80.57574024
Denmark,2014,87.68239857
Spain,2014,79.11967138
Estonia,2014,68.26683828
Finland,2014,70.98791689
France,2014,77.35242968
United Kingdom,2014,81.63557508
Greece,2014,77.31304863
Croatia,2014,55.45918349
Hungary,2014,70.30710535
Indonesia,2014,52.50021362
India,2014,32.22882334
Ireland,2014,62.53540173
Iceland,2014,93.61967163
Israel,2014,91.71519809
Italy,2014,69.58076386
Jordan,2014,88.03717543
Japan,2014,91.25489451
Korea,2014,81.73156828
Lithuania,2014,67.15149376
Luxembourg,2014,90.45778077
Latvia,2014,67.86860354
Mexico,2014,76.97413671
Malaysia,2014,72.98022069
Netherlands,2014,89.83647871
Norway,2014,80.61171595
New Zealand,2014,85.50766595
Poland,2014,60.43400633
Portugal,2014,61.13945374
Romania,2014,53.82671876
Russia,2014,74.17764767
Slovakia,2014,54.00291255
Slovenia,2014,50.98347092
Sweden,2014,86.25638387
Seychelles,2014,42.93862562
Thailand,2014,46.31387995
Turkiye,2014,83.60248507
USA,2014,80.62422318
Uzbekistan,2014,50.88687134
Viet Nam,2014,31.94802699
South Africa,2014,63.13523271
Australia,2015,86.87786425
Austria,2015,67.55761755
Belgium,2015,86.22128935
Bulgaria,2015,73.10305786
Brazil,2015,85.69356971
Canada,2015,81.24656703
Switzerland,2015,75.60449601
Chile,2015,87.46533203
China,2015,57.32978439
Colombia,2015,77.16362805
Costa Rica,2015,75.01981958
Cyprus,2015,67.04024779
Czech Republic,2015,73.03704429
Germany,2015,80.69743716
Denmark,2015,87.72540566
Spain,2015,79.24548927
Estonia,2015,68.47966097
Finland,2015,71.305493
France,2015,77.76109192
United Kingdom,2015,81.82437723
Greece,2015,77.51944263
Croatia,2015,55.58125945
Hungary,2015,70.48477173
Indonesia,2015,53.17207718
India,2015,32.547299
Ireland,2015,62.63921235
Iceland,2015,93.72791977
Israel,2015,91.70429216
Italy,2015,69.61000061
Jordan,2015,89.88813919
Japan,2015,91.35326441
Korea,2015,81.63948986
Lithuania,2015,67.2282486
Luxembourg,2015,90.98936794
Latvia,2015,67.89653957
Mexico,2015,77.19038542
Malaysia,2015,73.438787
Netherlands,2015,90.27877372
Norway,2015,81.2378241
New Zealand,2015,85.15187638
Poland,2015,60.33628868
Portugal,2015,61.13746921
Romania,2015,53.70718395
Russia,2015,74.27591907
Slovakia,2015,53.8700628
Slovenia,2015,53.66121603
Sweden,2015,86.61586541
